item,itemLabel,page_title,gnis,website
http://www.wikidata.org/entity/Q5346142,Edwardsburg High School,Edwardsburg High School,,
http://www.wikidata.org/entity/Q4729429,All Saints Central High School,All Saints Central High School,,http://www.ascbaycity.org
http://www.wikidata.org/entity/Q5147866,Coloma High School,Coloma High School,,
http://www.wikidata.org/entity/Q4683257,Stevenson High School,"Adlai E. Stevenson High School (Livonia, Michigan)",,http://stevenson.livonia.k12.mi.us/index.html
http://www.wikidata.org/entity/Q4731997,Allendale High School,Allendale High School,,http://www.allendale.k12.mi.us/schools/highschool/
http://www.wikidata.org/entity/Q4887146,Bendle High School,Bendle High School,,
http://www.wikidata.org/entity/Q6470827,Ladywood High School,Ladywood High School,,http://www.ladywood.org
http://www.wikidata.org/entity/Q5265872,Detroit Catholic Central High School,Detroit Catholic Central High School,,http://www.catholiccentral.net
http://www.wikidata.org/entity/Q4712521,Albion High School,Albion High School (Michigan),,
http://www.wikidata.org/entity/Q5672123,Harry S. Truman High School,"Harry S. Truman High School (Taylor, Michigan)",,http://truman.taylorschools.net/
http://www.wikidata.org/entity/Q4916710,Birmingham Groves High School,Birmingham Groves High School,,
http://www.wikidata.org/entity/Q4683260,Adlai E. Stevenson High School,"Adlai E. Stevenson High School (Sterling Heights, Michigan)",,http://www.uticak12.org/schools/sc_stevenson.asp
http://www.wikidata.org/entity/Q5123218,City High-Middle School,City High-Middle School,,
http://www.wikidata.org/entity/Q5528852,Gaylord High School,Gaylord High School,,
http://www.wikidata.org/entity/Q4967663,Brighton High School,"Brighton High School (Brighton, Michigan)",,
http://www.wikidata.org/entity/Q5049147,Cass City High School,Cass City Jr./Sr. High School,,http://www.casscityschools.org/schools/jr-sr-high/
http://www.wikidata.org/entity/Q4733553,Alma High School,Alma High School (Michigan),,
http://www.wikidata.org/entity/Q5126181,Clare High School,Clare High School,,
http://www.wikidata.org/entity/Q5154774,Community High School,"Community High School (Ann Arbor, Michigan)",,
http://www.wikidata.org/entity/Q5173412,Corunna High School,Corunna High School,,
http://www.wikidata.org/entity/Q5330180,Eastern High School,Eastern High School (Michigan),,http://eastern.lansingschools.net
http://www.wikidata.org/entity/Q5157692,Comstock High School,Comstock High School,,
http://www.wikidata.org/entity/Q5148060,Colon High School,Colon High School,,
http://www.wikidata.org/entity/Q5184667,Crestwood High School,Crestwood High School (Michigan),,
http://www.wikidata.org/entity/Q5284076,Divine Child High School,Divine Child High School,,http://www.divinechildhighschool.org/
http://www.wikidata.org/entity/Q5468958,Forest Hills Eastern High School,Forest Hills Eastern High School,,
http://www.wikidata.org/entity/Q5246958,"Dearborn Center for Math, Science and Technology","Dearborn Center for Math, Science and Technology",,
http://www.wikidata.org/entity/Q4799078,Arthur Hill High School,Arthur Hill High School,,http://pub.spsd.net/arthurhill/index.html
http://www.wikidata.org/entity/Q4892180,Berkley High School,Berkley High School,,http://www.berkleyschools.org/bhs
http://www.wikidata.org/entity/Q5416078,Evart High School,Evart High School,,
http://www.wikidata.org/entity/Q5435896,Farmington High School,Farmington High School (Michigan),,
http://www.wikidata.org/entity/Q5468966,Forest Hills Northern High School,Forest Hills Northern High School,,http://www.fhps.net/northernhs
http://www.wikidata.org/entity/Q5459543,Flint Northwestern High School,Flint Northwestern High School,,
http://www.wikidata.org/entity/Q5594999,Grand Rapids Christian High School,Grand Rapids Christian High School,,
http://www.wikidata.org/entity/Q5610551,Grosse Pointe North High School,Grosse Pointe North High School,,http://gpschools.schoolwires.net/Domain/194
http://www.wikidata.org/entity/Q6107396,J. W. Sexton High School,J. W. Sexton High School,,https://www.edline.net/pages/JWSexton_HS
http://www.wikidata.org/entity/Q5149638,Columbia Central High School,"Columbia Central High School (Brooklyn, Michigan)",,http://www.myeagles.org/cchs/index.htm
http://www.wikidata.org/entity/Q5721400,Henry Ford Academy,Henry Ford Academy,,
http://www.wikidata.org/entity/Q5038575,Cardinal Mooney Catholic High School,"Cardinal Mooney Catholic High School (Marine City, Michigan)",,http://www.cardinalmooney.org
http://www.wikidata.org/entity/Q5687983,Hazel Park High School,Hazel Park High School,,
http://www.wikidata.org/entity/Q4829313,Avondale High School,Avondale High School (Michigan),,https://sites.google.com/a/avondaleschools.org/ahs/
http://www.wikidata.org/entity/Q5086000,Charlotte High School,Charlotte High School (Michigan),,http://www.charlottenet.org/charlotte_high_school.html
http://www.wikidata.org/entity/Q6032444,Ingham Academy High School,Ingham Academy High School (Michigan),,http://www.inghamisd.org/schools/inghamacademy/
http://www.wikidata.org/entity/Q4685101,Adrian High School,Adrian High School (Michigan),,http://www.theadrianmaples.com/our-schools-43/adrian-high-school-57.html
http://www.wikidata.org/entity/Q5435887,Farmington Central High School,Farmington Central High School (Michigan),,http://www.farmington.k12.mi.us/fcs/fchs/
http://www.wikidata.org/entity/Q6094508,Ithaca High School,Ithaca High School (Michigan),,
http://www.wikidata.org/entity/Q6391329,Kenowa Hills High School,Kenowa Hills High School,,
http://www.wikidata.org/entity/Q4993370,Lincoln High School,"Lincoln High School (Warren, Michigan)",,http://www.vdps.net/lhs
http://www.wikidata.org/entity/Q5654613,Harbor High School,Harbor High School (Michigan),,
http://www.wikidata.org/entity/Q4956896,Brandon High School,Brandon High School (Michigan),2649470,
http://www.wikidata.org/entity/Q4975554,Brother Rice High School,Brother Rice High School (Michigan),,http://www.brrice.edu
http://www.wikidata.org/entity/Q5328664,East Jackson High School,East Jackson Secondary School,,http://eastjacksonsecondaryschool.weebly.com/
